City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,saint george,37.1041,-113.5841,48.43,50,0,3.44,US,1675878527
233,aviles,43.5547,-5.9248,51.19,81,20,11.5,ES,1675878527
234,lompoc,34.6391,-120.4579,65.79,73,0,5.75,US,1675878528
235,lisakovsk,52.5369,62.4936,-11.2,100,44,5.59,KZ,1675878528
236,hervey bay,-25.2986,152.8535,77.27,65,89,18.01,AU,1675878528
237,troitskoye,52.9821,84.6757,2.71,99,100,0.56,RU,1675878529
238,flinders,-34.5833,150.8552,69.19,93,94,4.0,AU,1675878505
239,port blair,11.6667,92.75,80.64,69,40,6.91,IN,1675878529
240,blackpool,53.8167,-3.05,43.9,75,0,9.22,GB,1675878530
241,dingle,10.9995,122.6711,72.86,91,87,7.96,PH,1675878530
242,arlit,18.7369,7.3853,80.28,11,28,4.23,NE,1675878531
243,riberalta,-10.9833,-66.1,84.4,74,75,4.61,BO,1675878531
244,cerrito,6.8432,-72.694,67.23,49,46,3.69,CO,1675878531
245,port hardy,50.6996,-127.4199,33.98,100,75,3.44,CA,1675878500
246,olinda,-8.0089,-34.8553,83.93,65,75,10.36,BR,1675878532
247,richmond,37.5538,-77.4603,70.99,40,75,9.22,US,1675877800
248,envira,-7.3,-70.2167,78.03,94,88,5.23,BR,1675878532
249,sisimiut,66.9395,-53.6735,-5.89,85,36,8.97,GL,1675878533
250,broome,42.2506,-75.833,44.71,60,72,5.01,US,1675878533
251,belomorsk,64.5232,34.7668,28.94,92,56,12.26,RU,1675878474
252,nuzvid,16.7833,80.85,68.25,85,82,2.82,IN,1675878534
253,burnie,-41.0667,145.9167,58.95,96,100,12.3,AU,1675878534
254,sao filipe,14.8961,-24.4956,69.64,69,80,6.98,CV,1675878535
255,birin,26.8865,88.0718,48.79,63,58,4.59,NP,1675878535
256,souillac,-20.5167,57.5167,79.18,78,40,4.61,MU,1675878535
257,oranjemund,-28.55,16.4333,64.87,94,39,6.98,NA,1675878536
258,garowe,8.4054,48.4845,74.84,60,8,16.26,SO,1675878536
259,isangel,-19.55,169.2667,78.1,89,100,8.21,VU,1675878536
260,talara,-4.5772,-81.2719,88.56,48,0,16.11,PE,1675878537
261,port lincoln,-34.7333,135.8667,65.91,79,76,10.83,AU,1675878307
